studentId,name,semester,score,maxMarks,date,status
S001,Suresh Nair,Sem 3,,100,,Upcoming
S002,Nidhi Pillai,Sem 3,,100,,Upcoming
S003,Ruchi Agarwal,Sem 3,,100,,Upcoming
S004,Karan Agarwal,Sem 3,,100,,Upcoming
S005,Rohan Chauhan,Sem 3,,100,,Upcoming
S006,Meera Kulkarni,Sem 3,,100,,Upcoming
S007,Dev More,Sem 3,,100,,Upcoming
S008,Abhishek Shinde,Sem 3,,100,,Upcoming
S009,Chirag Verma,Sem 3,,100,,Upcoming
S010,Ajay More,Sem 3,,100,,Upcoming
S011,Deepak Sharma,Sem 3,,100,,Upcoming
S012,Sneha Joshi,Sem 3,,100,,Upcoming
S013,Tejas Deshmukh,Sem 3,,100,,Upcoming
S014,Sakshi Pillai,Sem 3,,100,,Upcoming
S015,Manoj Jadhav,Sem 3,,100,,Upcoming
S016,Ruchi Chopra,Sem 3,,100,,Upcoming
S017,Ananya Kumar,Sem 3,,100,,Upcoming
S018,Varun Jadhav,Sem 3,,100,,Upcoming
S019,Priya Naik,Sem 3,,100,,Upcoming
S020,Komal Shah,Sem 3,,100,,Upcoming
S021,Sanjay Malhotra,Sem 3,,100,,Upcoming
S022,Radhika Chauhan,Sem 3,,100,,Upcoming
S023,Komal Yadav,Sem 3,,100,,Upcoming
S024,Komal Gupta,Sem 3,,100,,Upcoming
S025,Sneha Deshmukh,Sem 3,,100,,Upcoming
S026,Aditya Pillai,Sem 3,,100,,Upcoming
S027,Yash Bhosale,Sem 3,,100,,Upcoming
S028,Kavya Deshmukh,Sem 3,,100,,Upcoming
S029,Reyansh Bansal,Sem 3,,100,,Upcoming
S030,Reyansh Kumar,Sem 3,,100,,Upcoming
S031,Siddharth Joshi,Sem 3,,100,,Upcoming
S032,Meera Kapoor,Sem 3,,100,,Upcoming
S033,Nitin Chauhan,Sem 3,,100,,Upcoming
S034,Ishaan Jadhav,Sem 3,,100,,Upcoming
S035,Pallavi Kapoor,Sem 3,,100,,Upcoming
S036,Rohan Malhotra,Sem 3,,100,,Upcoming
S037,Ravi Rao,Sem 3,,100,,Upcoming
S038,Siddharth Kapoor,Sem 3,,100,,Upcoming
S039,Nikhil Naik,Sem 3,,100,,Upcoming
S040,Chirag Agarwal,Sem 3,,100,,Upcoming
S041,Pratik Verma,Sem 3,,100,,Upcoming
S042,Arjun Chopra,Sem 3,,100,,Upcoming
S043,Radhika Verma,Sem 3,,100,,Upcoming
S044,Siddharth Deshmukh,Sem 3,,100,,Upcoming
S045,Meera Chopra,Sem 3,,100,,Upcoming
S046,Sanjay Kulkarni,Sem 3,,100,,Upcoming
S047,Arjun Gupta,Sem 3,,100,,Upcoming
S048,Pratik Sharma,Sem 3,,100,,Upcoming
S049,Gaurav Agarwal,Sem 3,,100,,Upcoming
S050,Deepak Kale,Sem 3,,100,,Upcoming
