studentId,name,semester,score,maxMarks,date
S001,Suresh Nair,Sem 2,47,100,2026-05-20
S002,Nidhi Pillai,Sem 2,71,100,2026-05-20
S003,Ruchi Agarwal,Sem 2,49,100,2026-05-20
S004,Karan Agarwal,Sem 2,43,100,2026-05-20
S005,Rohan Chauhan,Sem 2,40,100,2026-05-20
S006,Meera Kulkarni,Sem 2,88,100,2026-05-20
S007,Dev More,Sem 2,56,100,2026-05-20
S008,Abhishek Shinde,Sem 2,51,100,2026-05-20
S009,Chirag Verma,Sem 2,84,100,2026-05-20
S010,Ajay More,Sem 2,40,100,2026-05-20
S011,Deepak Sharma,Sem 2,31,100,2026-05-20
S012,Sneha Joshi,Sem 2,38,100,2026-05-20
S013,Tejas Deshmukh,Sem 2,58,100,2026-05-20
S014,Sakshi Pillai,Sem 2,52,100,2026-05-20
S015,Manoj Jadhav,Sem 2,65,100,2026-05-20
S016,Ruchi Chopra,Sem 2,39,100,2026-05-20
S017,Ananya Kumar,Sem 2,33,100,2026-05-20
S018,Varun Jadhav,Sem 2,35,100,2026-05-20
S019,Priya Naik,Sem 2,41,100,2026-05-20
S020,Komal Shah,Sem 2,41,100,2026-05-20
S021,Sanjay Malhotra,Sem 2,79,100,2026-05-20
S022,Radhika Chauhan,Sem 2,36,100,2026-05-20
S023,Komal Yadav,Sem 2,61,100,2026-05-20
S024,Komal Gupta,Sem 2,47,100,2026-05-20
S025,Sneha Deshmukh,Sem 2,31,100,2026-05-20
S026,Aditya Pillai,Sem 2,55,100,2026-05-20
S027,Yash Bhosale,Sem 2,29,100,2026-05-20
S028,Kavya Deshmukh,Sem 2,41,100,2026-05-20
S029,Reyansh Bansal,Sem 2,24,100,2026-05-20
S030,Reyansh Kumar,Sem 2,72,100,2026-05-20
S031,Siddharth Joshi,Sem 2,66,100,2026-05-20
S032,Meera Kapoor,Sem 2,52,100,2026-05-20
S033,Nitin Chauhan,Sem 2,79,100,2026-05-20
S034,Ishaan Jadhav,Sem 2,20,100,2026-05-20
S035,Pallavi Kapoor,Sem 2,59,100,2026-05-20
S036,Rohan Malhotra,Sem 2,40,100,2026-05-20
S037,Ravi Rao,Sem 2,83,100,2026-05-20
S038,Siddharth Kapoor,Sem 2,30,100,2026-05-20
S039,Nikhil Naik,Sem 2,63,100,2026-05-20
S040,Chirag Agarwal,Sem 2,38,100,2026-05-20
S041,Pratik Verma,Sem 2,41,100,2026-05-20
S042,Arjun Chopra,Sem 2,55,100,2026-05-20
S043,Radhika Verma,Sem 2,68,100,2026-05-20
S044,Siddharth Deshmukh,Sem 2,68,100,2026-05-20
S045,Meera Chopra,Sem 2,65,100,2026-05-20
S046,Sanjay Kulkarni,Sem 2,41,100,2026-05-20
S047,Arjun Gupta,Sem 2,30,100,2026-05-20
S048,Pratik Sharma,Sem 2,22,100,2026-05-20
S049,Gaurav Agarwal,Sem 2,75,100,2026-05-20
S050,Deepak Kale,Sem 2,21,100,2026-05-20
