studentId,name,testName,score,maxMarks,date
S001,Suresh Nair,Unit Test 2,74,100,2026-09-24
S002,Nidhi Pillai,Unit Test 2,89,100,2026-09-24
S003,Ruchi Agarwal,Unit Test 2,57,100,2026-09-24
S004,Karan Agarwal,Unit Test 2,63,100,2026-09-24
S005,Rohan Chauhan,Unit Test 2,37,100,2026-09-24
S006,Meera Kulkarni,Unit Test 2,73,100,2026-09-24
S007,Dev More,Unit Test 2,62,100,2026-09-24
S008,Abhishek Shinde,Unit Test 2,64,100,2026-09-24
S009,Chirag Verma,Unit Test 2,81,100,2026-09-24
S010,Ajay More,Unit Test 2,53,100,2026-09-24
S011,Deepak Sharma,Unit Test 2,70,100,2026-09-24
S012,Sneha Joshi,Unit Test 2,33,100,2026-09-24
S013,Tejas Deshmukh,Unit Test 2,90,100,2026-09-24
S014,Sakshi Pillai,Unit Test 2,28,100,2026-09-24
S015,Manoj Jadhav,Unit Test 2,54,100,2026-09-24
S016,Ruchi Chopra,Unit Test 2,51,100,2026-09-24
S017,Ananya Kumar,Unit Test 2,21,100,2026-09-24
S018,Varun Jadhav,Unit Test 2,61,100,2026-09-24
S019,Priya Naik,Unit Test 2,28,100,2026-09-24
S020,Komal Shah,Unit Test 2,78,100,2026-09-24
S021,Sanjay Malhotra,Unit Test 2,88,100,2026-09-24
S022,Radhika Chauhan,Unit Test 2,68,100,2026-09-24
S023,Komal Yadav,Unit Test 2,70,100,2026-09-24
S024,Komal Gupta,Unit Test 2,72,100,2026-09-24
S025,Sneha Deshmukh,Unit Test 2,60,100,2026-09-24
S026,Aditya Pillai,Unit Test 2,86,100,2026-09-24
S027,Yash Bhosale,Unit Test 2,27,100,2026-09-24
S028,Kavya Deshmukh,Unit Test 2,59,100,2026-09-24
S029,Reyansh Bansal,Unit Test 2,43,100,2026-09-24
S030,Reyansh Kumar,Unit Test 2,64,100,2026-09-24
S031,Siddharth Joshi,Unit Test 2,87,100,2026-09-24
S032,Meera Kapoor,Unit Test 2,25,100,2026-09-24
S033,Nitin Chauhan,Unit Test 2,87,100,2026-09-24
S034,Ishaan Jadhav,Unit Test 2,34,100,2026-09-24
S035,Pallavi Kapoor,Unit Test 2,70,100,2026-09-24
S036,Rohan Malhotra,Unit Test 2,36,100,2026-09-24
S037,Ravi Rao,Unit Test 2,66,100,2026-09-24
S038,Siddharth Kapoor,Unit Test 2,64,100,2026-09-24
S039,Nikhil Naik,Unit Test 2,88,100,2026-09-24
S040,Chirag Agarwal,Unit Test 2,35,100,2026-09-24
S041,Pratik Verma,Unit Test 2,72,100,2026-09-24
S042,Arjun Chopra,Unit Test 2,66,100,2026-09-24
S043,Radhika Verma,Unit Test 2,66,100,2026-09-24
S044,Siddharth Deshmukh,Unit Test 2,60,100,2026-09-24
S045,Meera Chopra,Unit Test 2,90,100,2026-09-24
S046,Sanjay Kulkarni,Unit Test 2,51,100,2026-09-24
S047,Arjun Gupta,Unit Test 2,29,100,2026-09-24
S048,Pratik Sharma,Unit Test 2,35,100,2026-09-24
S049,Gaurav Agarwal,Unit Test 2,89,100,2026-09-24
S050,Deepak Kale,Unit Test 2,35,100,2026-09-24
