studentId,name,department,year,attendance,testScore,week
S001,Mohit Chopra,Computer Science,4,87,92,Week 1
S002,Mohit Rao,Computer Science,2,52,42,Week 1
S003,Manoj Agarwal,Computer Science,4,96,84,Week 1
S004,Manoj Joshi,Computer Science,4,76,62,Week 1
S005,Simran Kulkarni,Computer Science,1,64,55,Week 1
S006,Kabir Kale,Computer Science,4,72,66,Week 1
S007,Mohit Pawar,Computer Science,2,79,70,Week 1
S008,Rohan Bansal,Computer Science,1,79,70,Week 1
S009,Aditi Verma,Computer Science,2,55,48,Week 1
S010,Karan Kale,Computer Science,1,90,92,Week 1
S011,Sameer Yadav,Computer Science,4,93,88,Week 1
S012,Akash Rao,Computer Science,2,91,86,Week 1
S013,Radhika Pillai,Computer Science,1,67,78,Week 1
S014,Diya Iyer,Computer Science,3,75,65,Week 1
S015,Pallavi Naik,Computer Science,1,63,57,Week 1
S016,Neha Yadav,Computer Science,2,76,68,Week 1
S017,Nidhi Sharma,Computer Science,1,77,65,Week 1
S018,Riya Reddy,Computer Science,1,52,47,Week 1
S019,Radhika Reddy,Computer Science,1,74,74,Week 1
S020,Aarav Chopra,Computer Science,1,90,92,Week 1
S021,Harsh Shah,Computer Science,1,70,69,Week 1
S022,Ruchi Reddy,Computer Science,4,48,47,Week 1
S023,Ketan Patil,Computer Science,2,80,61,Week 1
S024,Isha Yadav,Computer Science,1,54,39,Week 1
S025,Anjali Yadav,Computer Science,1,77,71,Week 1
S026,Pallavi Kumar,Computer Science,1,73,64,Week 1
S027,Amit Mehta,Computer Science,1,73,66,Week 1
S028,Rohan Verma,Computer Science,4,94,89,Week 1
S029,Ravi Deshmukh,Computer Science,2,90,95,Week 1
S030,Sudhanshu Shinde,Computer Science,2,78,71,Week 1
S031,Ketan Pawar,Computer Science,4,89,87,Week 1
S032,Kavya Reddy,Computer Science,4,69,68,Week 1
S033,Harsh Sharma,Computer Science,3,92,84,Week 1
S034,Simran Malhotra,Computer Science,1,62,51,Week 1
S035,Varun Deshmukh,Computer Science,4,52,42,Week 1
S036,Pooja Verma,Computer Science,2,77,71,Week 1
S037,Harsh Iyer,Computer Science,3,50,49,Week 1
S038,Rohan Kumar,Computer Science,3,86,91,Week 1
S039,Ananya Patil,Computer Science,1,58,53,Week 1
S040,Varun Bhosale,Computer Science,2,93,86,Week 1
S041,Rohan Kale,Computer Science,3,76,73,Week 1
S042,Deepak Kale,Computer Science,4,91,92,Week 1
S043,Rahul Bhosale,Computer Science,4,78,66,Week 1
S044,Amit Chopra,Computer Science,4,88,86,Week 1
S045,Manoj Pawar,Computer Science,2,62,60,Week 1
S046,Anjali Kapoor,Computer Science,2,60,55,Week 1
S047,Siddharth Shinde,Computer Science,2,94,90,Week 1
S048,Nikhil Shinde,Computer Science,2,72,70,Week 1
S049,Komal Malhotra,Computer Science,4,76,69,Week 1
S050,Diya Nair,Computer Science,1,72,74,Week 1
