studentId,name,department,year,week,DBMS_attendance,DBMS_score,DS_attendance,DS_score,Computational Math_attendance,Computational Math_score,Computer Network_attendance,Computer Network_score,Python Programming_attendance,Python Programming_score
S001,Mohit Chopra,Computer Science,4,Week 1,91,87,91,87,98,91,97,87,90,89
S002,Mohit Rao,Computer Science,2,Week 1,45,51,53,44,58,54,47,48,51,48
S003,Manoj Agarwal,Computer Science,4,Week 1,96,80,87,90,83,90,90,89,92,85
S004,Manoj Joshi,Computer Science,4,Week 1,82,72,75,68,74,72,75,70,76,72
S005,Simran Kulkarni,Computer Science,1,Week 1,49,55,58,53,57,51,61,46,47,54
S006,Kabir Kale,Computer Science,4,Week 1,89,84,79,74,83,79,82,77,81,80
S007,Mohit Pawar,Computer Science,2,Week 1,81,79,77,71,75,71,74,68,75,70
S008,Rohan Bansal,Computer Science,1,Week 1,77,72,80,73,76,71,74,65,73,63
S009,Aditi Verma,Computer Science,2,Week 1,57,41,46,46,53,51,42,44,42,40
S010,Karan Kale,Computer Science,1,Week 1,95,87,93,91,94,92,98,87,98,88
S011,Sameer Yadav,Computer Science,4,Week 1,93,91,84,93,98,85,89,87,87,93
S012,Akash Rao,Computer Science,2,Week 1,94,85,97,90,94,84,94,86,92,80
S013,Radhika Pillai,Computer Science,1,Week 1,74,72,68,68,71,78,80,72,76,68
S014,Diya Iyer,Computer Science,3,Week 1,71,82,80,72,77,76,74,79,68,69
S015,Pallavi Naik,Computer Science,1,Week 1,55,54,59,43,50,54,57,48,56,44
S016,Neha Yadav,Computer Science,2,Week 1,77,74,84,75,73,70,76,72,70,63
S017,Nidhi Sharma,Computer Science,1,Week 1,79,72,73,68,82,72,68,78,69,77
S018,Riya Reddy,Computer Science,1,Week 1,51,41,50,46,51,40,55,49,42,50
S019,Radhika Reddy,Computer Science,1,Week 1,87,77,92,78,82,79,80,86,84,75
S020,Aarav Chopra,Computer Science,1,Week 1,95,90,96,96,87,87,94,85,94,97
S021,Harsh Shah,Computer Science,1,Week 1,86,78,85,73,87,82,83,73,83,80
S022,Ruchi Reddy,Computer Science,4,Week 1,45,36,47,46,48,53,45,53,53,49
S023,Ketan Patil,Computer Science,2,Week 1,71,80,73,82,74,72,75,67,76,75
S024,Isha Yadav,Computer Science,1,Week 1,54,43,53,38,52,51,53,47,50,52
S025,Anjali Yadav,Computer Science,1,Week 1,71,77,75,73,69,69,79,71,70,72
S026,Pallavi Kumar,Computer Science,1,Week 1,68,70,82,76,70,70,72,70,75,69
S027,Amit Mehta,Computer Science,1,Week 1,83,81,85,80,88,72,87,80,78,78
S028,Rohan Verma,Computer Science,4,Week 1,92,88,98,87,93,87,96,88,93,82
S029,Ravi Deshmukh,Computer Science,2,Week 1,98,88,96,94,96,91,90,95,89,96
S030,Sudhanshu Shinde,Computer Science,2,Week 1,79,66,74,69,77,80,74,81,67,70
S031,Ketan Pawar,Computer Science,4,Week 1,92,88,98,84,98,90,96,86,98,88
S032,Kavya Reddy,Computer Science,4,Week 1,74,79,67,69,75,70,76,63,74,62
S033,Harsh Sharma,Computer Science,3,Week 1,91,95,94,91,90,80,94,90,97,85
S034,Simran Malhotra,Computer Science,1,Week 1,48,47,57,45,55,53,56,53,46,54
S035,Varun Deshmukh,Computer Science,4,Week 1,51,41,52,52,44,41,44,50,45,54
S036,Pooja Verma,Computer Science,2,Week 1,84,84,92,79,80,84,80,84,77,84
S037,Harsh Iyer,Computer Science,3,Week 1,56,36,49,48,54,48,45,40,47,45
S038,Rohan Kumar,Computer Science,3,Week 1,85,82,96,89,92,81,96,95,98,84
S039,Ananya Patil,Computer Science,1,Week 1,63,58,62,44,52,52,63,51,55,52
S040,Varun Bhosale,Computer Science,2,Week 1,95,96,90,89,90,91,97,82,98,93
S041,Rohan Kale,Computer Science,3,Week 1,69,73,75,72,76,78,71,66,70,80
S042,Deepak Kale,Computer Science,4,Week 1,98,91,86,94,89,90,95,86,93,85
S043,Rahul Bhosale,Computer Science,4,Week 1,76,69,74,79,68,66,74,68,80,70
S044,Amit Chopra,Computer Science,4,Week 1,94,89,90,85,97,90,89,87,91,89
S045,Manoj Pawar,Computer Science,2,Week 1,56,56,54,54,53,50,51,49,54,47
S046,Anjali Kapoor,Computer Science,2,Week 1,60,45,60,50,56,54,57,57,54,54
S047,Siddharth Shinde,Computer Science,2,Week 1,88,85,87,97,93,90,87,89,88,84
S048,Nikhil Shinde,Computer Science,2,Week 1,78,76,82,83,88,84,81,83,78,80
S049,Komal Malhotra,Computer Science,4,Week 1,76,70,69,69,79,69,81,75,77,81
S050,Diya Nair,Computer Science,1,Week 1,84,76,89,79,86,81,81,79,78,72
