studentId,name,department,year,attendance,week,DBMS_attendance,DS_attendance,Computational Math_attendance,Computer Network_attendance,Python Programming_attendance
S001,Suresh Nair,Computer Science,4,54,Week 2,61,54,55,57,54
S002,Nidhi Pillai,Computer Science,2,87,Week 2,84,86,90,84,79
S003,Ruchi Agarwal,Computer Science,2,73,Week 2,68,81,72,71,78
S004,Karan Agarwal,Computer Science,1,48,Week 2,55,46,49,52,40
S005,Rohan Chauhan,Computer Science,4,85,Week 2,92,77,87,91,88
S006,Meera Kulkarni,Computer Science,2,55,Week 2,53,54,50,53,53
S007,Dev More,Computer Science,1,78,Week 2,81,79,71,77,81
S008,Abhishek Shinde,Computer Science,4,78,Week 2,74,84,77,72,75
S009,Chirag Verma,Computer Science,3,91,Week 2,93,97,83,86,86
S010,Ajay More,Computer Science,1,48,Week 2,40,43,56,50,55
S011,Deepak Sharma,Computer Science,2,59,Week 2,56,66,60,59,54
S012,Sneha Joshi,Computer Science,1,89,Week 2,91,90,95,94,87
S013,Tejas Deshmukh,Computer Science,3,86,Week 2,93,83,84,84,85
S014,Sakshi Pillai,Computer Science,2,77,Week 2,85,74,79,71,79
S015,Manoj Jadhav,Computer Science,1,81,Week 2,73,80,85,79,82
S016,Ruchi Chopra,Computer Science,2,54,Week 2,47,51,47,51,55
S017,Ananya Kumar,Computer Science,2,85,Week 2,85,85,88,88,85
S018,Varun Jadhav,Computer Science,1,57,Week 2,50,65,54,59,54
S019,Priya Naik,Computer Science,4,64,Week 2,66,65,66,62,61
S020,Komal Shah,Computer Science,3,52,Week 2,56,49,53,46,55
S021,Sanjay Malhotra,Computer Science,4,89,Week 2,89,90,94,93,82
S022,Radhika Chauhan,Computer Science,4,51,Week 2,57,59,49,56,48
S023,Komal Yadav,Computer Science,4,84,Week 2,81,84,78,82,92
S024,Komal Gupta,Computer Science,1,51,Week 2,55,49,56,58,54
S025,Sneha Deshmukh,Computer Science,4,50,Week 2,58,50,45,47,43
S026,Aditya Pillai,Computer Science,1,95,Week 2,92,99,92,99,93
S027,Yash Bhosale,Computer Science,3,60,Week 2,55,64,60,68,68
S028,Kavya Deshmukh,Computer Science,2,53,Week 2,48,59,58,52,58
S029,Reyansh Bansal,Computer Science,3,69,Week 2,71,70,63,76,71
S030,Reyansh Kumar,Computer Science,3,69,Week 2,69,63,77,64,73
S031,Siddharth Joshi,Computer Science,2,89,Week 2,88,81,91,93,82
S032,Meera Kapoor,Computer Science,2,81,Week 2,86,88,77,83,74
S033,Nitin Chauhan,Computer Science,2,92,Week 2,89,85,96,86,99
S034,Ishaan Jadhav,Computer Science,2,61,Week 2,68,63,53,58,68
S035,Pallavi Kapoor,Computer Science,2,39,Week 2,36,38,42,35,44
S036,Rohan Malhotra,Computer Science,3,90,Week 2,94,92,98,92,83
S037,Ravi Rao,Computer Science,4,45,Week 2,52,41,44,38,53
S038,Siddharth Kapoor,Computer Science,2,44,Week 2,49,44,41,50,49
S039,Nikhil Naik,Computer Science,1,92,Week 2,99,86,95,99,90
S040,Chirag Agarwal,Computer Science,4,90,Week 2,98,91,82,85,88
S041,Pratik Verma,Computer Science,3,50,Week 2,54,56,55,55,43
S042,Arjun Chopra,Computer Science,3,70,Week 2,71,67,64,71,63
S043,Radhika Verma,Computer Science,4,42,Week 2,48,46,41,37,44
S044,Siddharth Deshmukh,Computer Science,4,74,Week 2,75,78,67,70,69
S045,Meera Chopra,Computer Science,3,90,Week 2,86,95,90,89,87
S046,Sanjay Kulkarni,Computer Science,4,53,Week 2,54,58,53,59,59
S047,Arjun Gupta,Computer Science,2,85,Week 2,80,83,84,91,93
S048,Pratik Sharma,Computer Science,2,59,Week 2,60,65,58,57,57
S049,Gaurav Agarwal,Computer Science,2,92,Week 2,88,96,87,98,95
S050,Deepak Kale,Computer Science,4,67,Week 2,74,60,75,68,63
