studentId,name,department,year,attendance,week,DBMS_attendance,DS_attendance,Computational Math_attendance,Computer Network_attendance,Python Programming_attendance
S001,Suresh Nair,Computer Science,4,47,Week 2,39,48,45,53,49
S002,Nidhi Pillai,Computer Science,2,61,Week 2,58,67,58,64,57
S003,Ruchi Agarwal,Computer Science,2,66,Week 2,70,60,70,65,63
S004,Karan Agarwal,Computer Science,1,51,Week 2,54,54,52,55,41
S005,Rohan Chauhan,Computer Science,4,50,Week 2,38,53,60,52,48
S006,Meera Kulkarni,Computer Science,2,79,Week 2,73,98,77,70,77
S007,Dev More,Computer Science,1,55,Week 2,44,53,51,65,62
S008,Abhishek Shinde,Computer Science,4,41,Week 2,41,46,40,44,34
S009,Chirag Verma,Computer Science,3,71,Week 2,86,68,69,67,64
S010,Ajay More,Computer Science,1,65,Week 2,61,64,59,75,67
S011,Deepak Sharma,Computer Science,2,42,Week 2,46,32,43,34,54
S012,Sneha Joshi,Computer Science,1,47,Week 2,45,46,55,42,45
S013,Tejas Deshmukh,Computer Science,3,43,Week 2,35,47,49,35,51
S014,Sakshi Pillai,Computer Science,2,62,Week 2,65,68,61,59,55
S015,Manoj Jadhav,Computer Science,1,72,Week 2,76,76,66,72,72
S016,Ruchi Chopra,Computer Science,2,59,Week 2,57,65,57,56,61
S017,Ananya Kumar,Computer Science,2,36,Week 2,43,45,31,31,31
S018,Varun Jadhav,Computer Science,1,53,Week 2,52,65,56,50,42
S019,Priya Naik,Computer Science,4,33,Week 2,33,24,45,39,22
S020,Komal Shah,Computer Science,3,39,Week 2,28,40,41,51,35
S021,Sanjay Malhotra,Computer Science,4,81,Week 2,84,90,79,77,74
S022,Radhika Chauhan,Computer Science,4,54,Week 2,68,50,60,35,57
S023,Komal Yadav,Computer Science,4,46,Week 2,46,41,49,48,48
S024,Komal Gupta,Computer Science,1,51,Week 2,50,48,53,39,64
S025,Sneha Deshmukh,Computer Science,4,28,Week 2,40,32,30,20,20
S026,Aditya Pillai,Computer Science,1,51,Week 2,59,46,53,46,53
S027,Yash Bhosale,Computer Science,3,51,Week 2,56,46,59,53,41
S028,Kavya Deshmukh,Computer Science,2,49,Week 2,41,47,49,48,62
S029,Reyansh Bansal,Computer Science,3,47,Week 2,37,58,43,55,42
S030,Reyansh Kumar,Computer Science,3,86,Week 2,81,97,86,83,82
S031,Siddharth Joshi,Computer Science,2,64,Week 2,67,62,60,69,63
S032,Meera Kapoor,Computer Science,2,48,Week 2,62,58,22,51,47
S033,Nitin Chauhan,Computer Science,2,84,Week 2,88,74,89,84,85
S034,Ishaan Jadhav,Computer Science,2,40,Week 2,32,30,56,51,32
S035,Pallavi Kapoor,Computer Science,2,50,Week 2,48,52,47,55,50
S036,Rohan Malhotra,Computer Science,3,56,Week 2,55,54,55,59,58
S037,Ravi Rao,Computer Science,4,64,Week 2,55,69,63,63,68
S038,Siddharth Kapoor,Computer Science,2,55,Week 2,60,65,53,49,47
S039,Nikhil Naik,Computer Science,1,58,Week 2,60,48,58,62,63
S040,Chirag Agarwal,Computer Science,4,38,Week 2,35,29,34,48,45
S041,Pratik Verma,Computer Science,3,60,Week 2,56,69,60,65,51
S042,Arjun Chopra,Computer Science,3,62,Week 2,61,69,65,59,57
S043,Radhika Verma,Computer Science,4,69,Week 2,58,62,69,78,80
S044,Siddharth Deshmukh,Computer Science,4,72,Week 2,72,73,66,75,74
S045,Meera Chopra,Computer Science,3,70,Week 2,69,77,67,69,67
S046,Sanjay Kulkarni,Computer Science,4,41,Week 2,42,34,49,42,39
S047,Arjun Gupta,Computer Science,2,47,Week 2,47,34,49,47,56
S048,Pratik Sharma,Computer Science,2,40,Week 2,31,38,45,39,48
S049,Gaurav Agarwal,Computer Science,2,69,Week 2,68,73,74,52,76
S050,Deepak Kale,Computer Science,4,32,Week 2,30,47,31,24,28
