studentId,name,department,year,attendance,week
S001,Suresh Nair,Computer Science,4,57,Week 3
S002,Nidhi Pillai,Computer Science,2,88,Week 3
S003,Ruchi Agarwal,Computer Science,2,73,Week 3
S004,Karan Agarwal,Computer Science,1,48,Week 3
S005,Rohan Chauhan,Computer Science,4,88,Week 3
S006,Meera Kulkarni,Computer Science,2,56,Week 3
S007,Dev More,Computer Science,1,79,Week 3
S008,Abhishek Shinde,Computer Science,4,82,Week 3
S009,Chirag Verma,Computer Science,3,90,Week 3
S010,Ajay More,Computer Science,1,73,Week 3
S011,Deepak Sharma,Computer Science,2,81,Week 3
S012,Sneha Joshi,Computer Science,1,89,Week 3
S013,Tejas Deshmukh,Computer Science,3,84,Week 3
S014,Sakshi Pillai,Computer Science,2,79,Week 3
S015,Manoj Jadhav,Computer Science,1,80,Week 3
S016,Ruchi Chopra,Computer Science,2,75,Week 3
S017,Ananya Kumar,Computer Science,2,84,Week 3
S018,Varun Jadhav,Computer Science,1,82,Week 3
S019,Priya Naik,Computer Science,4,56,Week 3
S020,Komal Shah,Computer Science,3,54,Week 3
S021,Sanjay Malhotra,Computer Science,4,89,Week 3
S022,Radhika Chauhan,Computer Science,4,74,Week 3
S023,Komal Yadav,Computer Science,4,81,Week 3
S024,Komal Gupta,Computer Science,1,53,Week 3
S025,Sneha Deshmukh,Computer Science,4,73,Week 3
S026,Aditya Pillai,Computer Science,1,97,Week 3
S027,Yash Bhosale,Computer Science,3,51,Week 3
S028,Kavya Deshmukh,Computer Science,2,78,Week 3
S029,Reyansh Bansal,Computer Science,3,59,Week 3
S030,Reyansh Kumar,Computer Science,3,65,Week 3
S031,Siddharth Joshi,Computer Science,2,91,Week 3
S032,Meera Kapoor,Computer Science,2,81,Week 3
S033,Nitin Chauhan,Computer Science,2,94,Week 3
S034,Ishaan Jadhav,Computer Science,2,52,Week 3
S035,Pallavi Kapoor,Computer Science,2,38,Week 3
S036,Rohan Malhotra,Computer Science,3,87,Week 3
S037,Ravi Rao,Computer Science,4,46,Week 3
S038,Siddharth Kapoor,Computer Science,2,82,Week 3
S039,Nikhil Naik,Computer Science,1,90,Week 3
S040,Chirag Agarwal,Computer Science,4,91,Week 3
S041,Pratik Verma,Computer Science,3,76,Week 3
S042,Arjun Chopra,Computer Science,3,67,Week 3
S043,Radhika Verma,Computer Science,4,44,Week 3
S044,Siddharth Deshmukh,Computer Science,4,75,Week 3
S045,Meera Chopra,Computer Science,3,91,Week 3
S046,Sanjay Kulkarni,Computer Science,4,72,Week 3
S047,Arjun Gupta,Computer Science,2,85,Week 3
S048,Pratik Sharma,Computer Science,2,53,Week 3
S049,Gaurav Agarwal,Computer Science,2,90,Week 3
S050,Deepak Kale,Computer Science,4,61,Week 3
