studentId,name,department,year,attendance,week,DBMS_attendance,DS_attendance,Computational Math_attendance,Computer Network_attendance,Python Programming_attendance
S001,Suresh Nair,Computer Science,4,90,Week 4,100,87,87,95,97
S002,Nidhi Pillai,Computer Science,2,86,Week 4,91,87,85,89,78
S003,Ruchi Agarwal,Computer Science,2,74,Week 4,82,69,80,74,73
S004,Karan Agarwal,Computer Science,1,78,Week 4,66,82,77,85,89
S005,Rohan Chauhan,Computer Science,4,89,Week 4,96,85,92,89,95
S006,Meera Kulkarni,Computer Science,2,53,Week 4,47,49,51,60,55
S007,Dev More,Computer Science,1,83,Week 4,81,83,91,90,75
S008,Abhishek Shinde,Computer Science,4,81,Week 4,85,80,87,88,81
S009,Chirag Verma,Computer Science,3,90,Week 4,88,88,86,85,88
S010,Ajay More,Computer Science,1,78,Week 4,77,76,82,83,82
S011,Deepak Sharma,Computer Science,2,54,Week 4,59,49,61,47,53
S012,Sneha Joshi,Computer Science,1,89,Week 4,85,84,82,84,87
S013,Tejas Deshmukh,Computer Science,3,85,Week 4,87,90,78,87,84
S014,Sakshi Pillai,Computer Science,2,80,Week 4,78,87,76,79,77
S015,Manoj Jadhav,Computer Science,1,82,Week 4,82,74,89,87,90
S016,Ruchi Chopra,Computer Science,2,79,Week 4,71,74,81,80,83
S017,Ananya Kumar,Computer Science,2,89,Week 4,81,91,97,86,81
S018,Varun Jadhav,Computer Science,1,82,Week 4,85,75,81,80,87
S019,Priya Naik,Computer Science,4,86,Week 4,93,84,87,97,97
S020,Komal Shah,Computer Science,3,82,Week 4,72,69,75,72,91
S021,Sanjay Malhotra,Computer Science,4,90,Week 4,91,86,90,93,88
S022,Radhika Chauhan,Computer Science,4,75,Week 4,81,81,77,75,72
S023,Komal Yadav,Computer Science,4,79,Week 4,86,87,80,71,84
S024,Komal Gupta,Computer Science,1,70,Week 4,69,79,73,68,63
S025,Sneha Deshmukh,Computer Science,4,56,Week 4,63,51,47,66,51
S026,Aditya Pillai,Computer Science,1,96,Week 4,99,93,99,98,93
S027,Yash Bhosale,Computer Science,3,71,Week 4,65,70,69,78,74
S028,Kavya Deshmukh,Computer Science,2,61,Week 4,49,62,68,65,63
S029,Reyansh Bansal,Computer Science,3,83,Week 4,86,92,73,86,81
S030,Reyansh Kumar,Computer Science,3,66,Week 4,62,69,70,62,64
S031,Siddharth Joshi,Computer Science,2,93,Week 4,93,91,91,87,99
S032,Meera Kapoor,Computer Science,2,83,Week 4,76,75,90,77,85
S033,Nitin Chauhan,Computer Science,2,93,Week 4,89,99,92,98,97
S034,Ishaan Jadhav,Computer Science,2,66,Week 4,65,74,70,46,77
S035,Pallavi Kapoor,Computer Science,2,71,Week 4,74,68,70,69,74
S036,Rohan Malhotra,Computer Science,3,86,Week 4,84,86,91,82,92
S037,Ravi Rao,Computer Science,4,77,Week 4,87,85,90,89,80
S038,Siddharth Kapoor,Computer Science,2,77,Week 4,71,73,80,79,80
S039,Nikhil Naik,Computer Science,1,91,Week 4,90,88,97,93,92
S040,Chirag Agarwal,Computer Science,4,91,Week 4,93,83,92,85,96
S041,Pratik Verma,Computer Science,3,85,Week 4,83,79,81,81,81
S042,Arjun Chopra,Computer Science,3,64,Week 4,59,67,70,69,65
S043,Radhika Verma,Computer Science,4,86,Week 4,88,73,86,71,71
S044,Siddharth Deshmukh,Computer Science,4,71,Week 4,66,67,67,77,77
S045,Meera Chopra,Computer Science,3,91,Week 4,94,92,89,98,92
S046,Sanjay Kulkarni,Computer Science,4,81,Week 4,73,74,82,94,83
S047,Arjun Gupta,Computer Science,2,88,Week 4,83,83,90,90,83
S048,Pratik Sharma,Computer Science,2,58,Week 4,51,62,52,53,74
S049,Gaurav Agarwal,Computer Science,2,90,Week 4,93,97,95,93,89
S050,Deepak Kale,Computer Science,4,69,Week 4,68,67,68,57,84
